2025-06-27 17:00:01;amarelo
2025-06-27 17:00:06;amarelo
2025-06-27 17:00:11;amarelo
2025-06-27 17:00:17;amarelo
2025-06-27 17:00:22;amarelo
2025-06-27 17:00:27;amarelo
2025-06-27 17:00:32;amarelo
2025-06-27 17:00:37;amarelo
2025-06-27 17:00:42;amarelo
2025-06-27 17:00:47;amarelo
2025-06-27 17:00:53;amarelo
2025-06-27 17:00:58;amarelo
2025-06-27 17:01:03;amarelo
2025-06-27 17:01:08;amarelo
2025-06-27 17:01:13;amarelo
2025-06-27 17:01:18;amarelo
2025-06-27 17:01:23;amarelo
2025-06-27 17:01:29;amarelo
2025-06-27 17:01:34;amarelo
2025-06-27 17:01:39;amarelo
2025-06-27 17:01:44;amarelo
2025-06-27 17:01:49;amarelo
2025-06-27 17:01:54;amarelo
2025-06-27 17:01:59;amarelo
2025-06-27 17:02:05;amarelo
2025-06-27 17:02:10;amarelo
2025-06-27 17:02:15;amarelo
2025-06-27 17:02:20;amarelo
2025-06-27 17:02:25;amarelo
2025-06-27 17:02:30;amarelo
2025-06-27 17:02:35;amarelo
2025-06-27 17:02:40;amarelo
2025-06-27 17:02:46;amarelo
2025-06-27 17:02:51;amarelo
2025-06-27 17:02:56;amarelo
2025-06-27 17:03:01;amarelo
2025-06-27 17:03:06;amarelo
2025-06-27 17:03:11;amarelo
2025-06-27 17:03:16;amarelo
2025-06-27 17:03:21;amarelo
2025-06-27 17:03:27;amarelo
2025-06-27 17:03:32;amarelo
2025-06-27 17:03:37;amarelo
2025-06-27 17:03:42;amarelo
2025-06-27 17:03:47;amarelo
2025-06-27 17:03:52;amarelo
2025-06-27 17:03:57;amarelo
2025-06-27 17:04:02;amarelo
2025-06-27 17:04:08;amarelo
2025-06-27 17:04:13;amarelo
2025-06-27 17:04:18;amarelo
2025-06-27 17:04:23;amarelo
2025-06-27 17:04:28;amarelo
2025-06-27 17:04:33;amarelo
2025-06-27 17:04:38;amarelo
2025-06-27 17:04:43;amarelo
